"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSDARG00000000001",65.6440247107456,-0.184887971092007,0.270236293724985,-0.684171502441358,0.493866875072478,0.999928098078045
"ENSDARG00000000002",1.74062248762539,0.806104749257243,1.81904216335858,0.443147918995399,0.657658746759896,0.999928098078045
"ENSDARG00000000018",1104.78764256303,0.116962361561899,0.101051966063778,1.1574476590399,0.247089512015715,0.999928098078045
"ENSDARG00000000019",2807.41256551491,-0.0672754750613798,0.106227113338426,-0.633317360766911,0.526526418457559,0.999928098078045
"ENSDARG00000000068",448.774156916323,-0.048042749690745,0.12745012953051,-0.376953321802974,0.70620829417333,0.999928098078045
"ENSDARG00000000069",910.388676804478,0.0137746392299517,0.102493303407337,0.134395504603919,0.893089836193914,0.999928098078045
"ENSDARG00000000086",460.054540517171,0.0307115007824559,0.134392062216346,0.228521687039938,0.81924069829727,0.999928098078045
"ENSDARG00000000103",2017.29688654655,0.172784870780383,0.117865487740743,1.46594965237357,0.142662003626979,0.999928098078045
"ENSDARG00000000142",73.7860455537453,0.0935088362173875,0.253923048858981,0.368256590481153,0.712681917373226,0.999928098078045
"ENSDARG00000000151",31.0693157472952,0.155252936126002,0.384194640945314,0.404099692135218,0.686139411355606,0.999928098078045
"ENSDARG00000000161",27.7663462788902,-0.174417378592666,0.435019386486307,-0.400941622398605,0.688463104650812,0.999928098078045
"ENSDARG00000000175",16.9502097433332,0.484593582119007,0.580935188636662,0.834161179418741,0.404190163660598,0.999928098078045
"ENSDARG00000000183",252.946991656792,0.124653915354111,0.151890824604325,0.820681010053327,0.41182799032803,0.999928098078045
"ENSDARG00000000189",167.966978287198,-0.132272437856746,0.178315330242925,-0.741789489869133,0.458214889428267,0.999928098078045
"ENSDARG00000000212",21189.630856603,0.0511711568210795,0.0734837687247428,0.69635999499097,0.486203409716846,0.999928098078045
"ENSDARG00000000229",702.903526641562,0.0380404990747428,0.110795344068321,0.343340231438656,0.731342517896594,0.999928098078045
"ENSDARG00000000241",16.5344804420275,0.0561333929263852,0.553689857220797,0.101380569274182,0.919248360467909,0.999928098078045
"ENSDARG00000000324",133.166317479315,0.152995786119235,0.208530523947367,0.73368532924154,0.463140541888013,0.999928098078045
"ENSDARG00000000349",2.68557836235745,-0.400827463550993,1.39075555894445,-0.288208420935747,0.773187203179251,0.999928098078045
"ENSDARG00000000369",6.58851804101118,0.121866784198059,0.82321266546669,0.148038033560831,0.882312752476073,0.999928098078045
"ENSDARG00000000370",205.43363290421,0.0723139705917998,0.22092048537808,0.327330308314517,0.743418071216534,0.999928098078045
"ENSDARG00000000380",48.7766865022053,0.120405492076474,0.317024848277749,0.379798279947398,0.704095159249935,0.999928098078045
"ENSDARG00000000394",7000.19277461664,0.0561932403248292,0.0774208576239387,0.725815265413104,0.467952027355634,0.999928098078045
"ENSDARG00000000423",117.713549693487,-0.058474002536518,0.213137385487084,-0.27434887785119,0.78381652577286,0.999928098078045
