"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSDARG00000045914",21240.3545052289,-0.019799435354309,0.0801283324014412,-0.247096560741016,0.804833495355152,0.999947348795925
"ENSDARG00000045913",594.875404156807,-0.137527394585674,0.20411038354795,-0.673789310446158,0.500445271823501,0.999947348795925
"ENSDARG00000045911",821.015180139886,-0.0860100564566901,0.171458155812051,-0.50163875873582,0.615921650320441,0.999947348795925
"ENSDARG00000045910",807.056502851909,-0.163862046277364,0.175029679128011,-0.936195776017621,0.349172397600946,0.999947348795925
"ENSDARG00000045909",40.1412153879868,-0.135595151832133,0.700055746670824,-0.193691934502313,0.846417107583739,0.999947348795925
"ENSDARG00000025073",26261.0817673594,-0.0774224225021701,0.0794318498965103,-0.974702497839869,0.3297078535759,0.999947348795925
"ENSDARG00000084828",6.79306384074849,1.09104404569516,1.6542531747306,0.659538734675749,0.509549881087135,0.999947348795925
"ENSDARG00000095951",1.95896948741159,-2.08420962434401,3.22885215218404,-0.645495527856308,0.518606115482936,0.999947348795925
"ENSDARG00000093924",1.5220359542669,-0.431764388541755,3.96195186316815,-0.108977696714492,0.913220180404009,0.999947348795925
"ENSDARG00000108269",0,NA,NA,NA,NA,NA
"ENSDARG00000084451",0,NA,NA,NA,NA,NA
"ENSDARG00000031737",1.46139938305241,-0.451076950374229,3.97520142944352,-0.113472727956171,0.90965578335029,0.999947348795925
"ENSDARG00000099652",3656.14256965731,-0.0671012026596838,0.104080299456111,-0.64470608761055,0.519117670556744,0.999947348795925
"ENSDARG00000101047",294.478728419119,-0.27755567512737,0.270901342988566,-1.02456367349602,0.305569112365961,0.999947348795925
"ENSDARG00000102104",68.5386683472215,-0.425322360161594,0.548171185807488,-0.775893317951525,0.437811978320049,0.999947348795925
"ENSDARG00000099833",238.34605306058,-0.0046372768032709,0.317844564805223,-0.0145897627858216,0.988359466498494,0.999947348795925
"ENSDARG00000103870",181.898342757176,-0.119175209612616,0.366364573545738,-0.325291303302659,0.744960612238889,0.999947348795925
"ENSDARG00000096118",474.770809820518,-0.0822698732159455,0.228621933815226,-0.359851182443574,0.718958425470001,0.999947348795925
"ENSDARG00000045900",637.900506015936,0.166971192806004,0.190906163452802,0.874624421684975,0.381778295198512,0.999947348795925
"ENSDARG00000016968",3202.84491700309,-0.0395696300030694,0.11917356566483,-0.332033616535038,0.73986387525873,0.999947348795925
"ENSDARG00000102878",341.528279412228,-0.0224286644000124,0.258536550870305,-0.0867523927448994,0.930868329972039,0.999947348795925
"ENSDARG00000059311",48.1500489414678,-0.72187421942369,0.641862179033625,-1.12465610687723,0.260734788306287,0.999947348795925
"ENSDARG00000017386",293.979827061646,0.0313205418598586,0.273020044789761,0.114718836428208,0.908667983188881,0.999947348795925
"ENSDARG00000045898",39244.4686004867,-0.0312754048902109,0.0848395558247145,-0.368641780195414,0.712394749428418,0.999947348795925
"ENSDARG00000006060",1704.07583743931,-0.0613631940349227,0.142976809482506,-0.429182846204377,0.66779016546759,0.999947348795925
"ENSDARG00000113105",0,NA,NA,NA,NA,NA
"ENSDARG00000103050",0.735036301406469,0.639786489261352,4.89092989593065,0.130810807530418,0.89592497329167,NA
"ENSDARG00000070535",213.665270159835,0.0123804523604977,0.321079703254471,0.0385588133881062,0.969242140009434,0.999947348795925
"ENSDARG00000013789",0,NA,NA,NA,NA,NA
"ENSDARG00000063686",366.21174678537,0.166288637625897,0.257166751130411,0.646617950784669,0.517879237288426,0.999947348795925
"ENSDARG00000087962",1559.89001983071,0.0424723337475849,0.142402144776653,0.298256278472487,0.76550757118708,0.999947348795925
"ENSDARG00000099313",1188.99296998008,-0.0266848867380653,0.149380744147513,-0.178636723831782,0.858222956824895,0.999947348795925
"ENSDARG00000103102",5.52679518391322,0.626055470739214,1.81298362390264,0.345317774791348,0.72985548525888,0.999947348795925
"ENSDARG00000104018",2793.2142528731,-0.0502391840910747,0.111940801604023,-0.448801360819173,0.653574956988526,0.999947348795925
"ENSDARG00000102157",0,NA,NA,NA,NA,NA
"ENSDARG00000098612",1.05379149109708,2.53647566033987,4.9128587025587,0.516293224354047,0.605649627830654,NA
"ENSDARG00000100898",0,NA,NA,NA,NA,NA
"ENSDARG00000102340",12.8242945085517,-0.693783333357628,1.23003292621519,-0.564036391686194,0.572729365672086,0.999947348795925
"ENSDARG00000111388",1735.91323677177,-0.109432350584345,0.129723542870229,-0.843581266461536,0.398903436256628,0.999947348795925
"ENSDARG00000025601",0,NA,NA,NA,NA,NA
"ENSDARG00000063672",1246.68660904082,0.0159450209505353,0.147964267928178,0.10776264549408,0.914183974859253,0.999947348795925
"ENSDARG00000018149",2177.59372797999,-0.0345201170151555,0.125116933158326,-0.275902838598776,0.782622693621789,0.999947348795925
