"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSDARG00000099104",8603.75877680678,0.155292605830571,0.058280745991054,2.66456105167919,0.00770888720445904,0.0597358295863512
"ENSDARG00000102407",1327.71247118134,-0.00406171872718654,0.123584900845094,-0.03286581693566,0.973781592194777,0.993769232163399
"ENSDARG00000102097",249.165720853032,0.314255891408382,0.235466590844809,1.33460925510023,0.182004267320846,0.49854466471398
"ENSDARG00000099319",4.48288768473027,-1.35893839299636,1.84417681527298,-0.736880749037726,0.46119487196945,NA
"ENSDARG00000099640",1518.32699315905,-0.00567198703518778,0.099072200452798,-0.0572510452908547,0.954345216545618,0.98856270592856
"Polinton-1_DR_dup1",0,NA,NA,NA,NA,NA
"ENSDARG00000104071",892.697683262397,-0.196554111169574,0.132101253861476,-1.48790496247435,0.136775958800871,0.423576065062775
"ENSDARG00000102746",1448.50546803727,0.0295786353578518,0.109594923379257,0.269890561038979,0.787244449011664,0.934700591877497
"Rex1-31_DRe_dup5",24.8546238664455,-0.378146118689088,0.763691945303307,-0.495155305767831,0.620490496810863,0.863237079504239
"ENSDARG00000103929",1322.30021832984,-0.101891485973534,0.105191472989246,-0.968628759328725,0.332730448865545,0.674671025783079
"Polinton-1_DR_dup7",0,NA,NA,NA,NA,NA
"ENSDARG00000101073",3.54000150632008,-0.103260931079057,2.10031394241396,-0.0491645220239672,0.960788184381972,NA
"ENSDARG00000100223",298.965333343145,-0.255684019889475,0.216132548932918,-1.18299636566463,0.236810587774789,0.573006981930786
"ENSDARG00000096573",0.326369156177898,-1.25010932448885,4.93301205577312,-0.253417042236061,0.799945959580442,NA
"ENSDARG00000100782",7.85974600540975,0.972436561178196,1.35084041663612,0.719875234115195,0.471601817678573,NA
"ENSDARG00000034862",0.959354302789268,0.1897191882497,3.7038506313615,0.0512221488208236,0.959148502802278,NA
"ENSDARG00000075827",0.281233295689787,0.867658078841598,4.89660017712577,0.177196023251974,0.85935441922415,NA
"ENSDARG00000088581",0.281233295689787,0.867658078841598,4.89660017712577,0.177196023251974,0.85935441922415,NA
"ENSDARG00000076900",9.26448861628403,-0.49205998700955,1.18176490514707,-0.41637722093999,0.677133994284051,NA
"ENSDARG00000013802",812.856189534681,0.112958603491036,0.13327195110933,0.847579723646196,0.396672070480679,0.728505673488577
"ENSDARG00000096578",615.861361083083,0.153058349286461,0.1481513943164,1.0331212203078,0.301547173878163,0.64543958645035
"ENSDARG00000109848",11.9976304160767,-0.0895509909764501,1.00927045467163,-0.0887284380137593,0.929297731397969,NA
"ERV1-4_DR-LTR_dup1",12.7462699784079,-0.177975037450552,0.973337601413996,-0.182850264072818,0.854915508368075,NA
"ENSDARG00000100181",88.0944011919372,0.769021529146385,0.38920289048657,1.9758885351159,0.0481674029778749,0.221874299766134
